objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,display_template,type,format,language,rights,rightsstatement
col008_mp_1,col008_meridianpolice_001.jpg,Gene Hiner with Police and Sheriff Deputies ,unknown,1958,Gene Hiner with Police and Sheriff Deputies; possibly circa 1958 when Hiner was with the Ada County Sheriff's Office,Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_2,col008_meridianpolice_002.jpg,Chief of Police-Gene Hiner,Hiner Family,1963,"Picture of Police Chief Gene Hiner, circa 1963, the year he became Meridian's Chief of Police",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_3,col008_meridianpolice_003.jpg,Police Officer Charles Stuart,Horton Studio,1963,"Police Officer Charles Stuart, circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_4,col008_meridianpolice_004.jpg,Police Officer Lowell Gass,Horton Studio,1963,"Police Officer Lowell Gass, circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_5,col008_meridianpolice_005.jpg,Police Officer Roy Woods ,Horton Studio,1963,"Police Officer Roy Woods, circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_6,col008_meridianpolice_006.jpg,Police Officer Bob Mitch,Horton Studio,1963,"Police Officer Bob Mitch, circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_7,col008_meridianpolice_007.jpg,Police Officer Wally Everist ,Horton Studio,1963,"Police Officer Wally Everist, circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_8,col008_meridianpolice_008.jpg,Police Officer Neal Hudson,Horton Studio,1963,"Police Officer Neal Hudson, circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_9,col008_meridianpolice_009.jpg,Police Officer Don Sneddon,Horton Studio,1963,"Police Officer Don Sneddon, circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_10,col008_meridianpolice_010.jpg,Police Officer Ted Dennis,Horton Studio,1963,"Police Officer Ted Dennis, circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_11,col008_meridianpolice_011.jpg,City Council Member-Wayne Skiver,Horton Studio,1963,"City Council Member-Wayne Skiver, circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_12,col008_meridianpolice_012.jpg,Meridian Police and City Officials ,Gem State Peace Officer Magazine ,1957,"First Row, left to right: Steve J. McGill (Meridian Chief of Police), Gene D. Hiner (officer); Second Row, Left to Right: Herald J. Cox (Meridian City Clerk), Don M. Storey (Mayor), Dean Mayes (Police Commissioner)",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_13,col008_meridianpolice_013.jpg,Deputy Sheriff Gene Hiner and Officer,Gene Hiner Family,1959,Deputy Sheriff Gene Hiner and Officer,Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_14,col008_meridianpolice_014.jpg,Deputy Sheriff Gene Hiner and Officer,Gene Hiner Family,1959,Deputy Sheriff Gene Hiner and Officer,Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_15,col008_meridianpolice_015.jpg,Two Officers from Sheriff's Office,Gene Hiner Family,1959,Two Officers from Sheriff's Office,Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_16,col008_meridianpolice_016.jpg,Gene Hiner Examines Evidence ,Meridian Police,1965-10-20,"Gene Hiner examines tools taken from Richard Potter, a burglary suspect, October 20, 1965",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_17,col008_meridianpolice_017.jpg,Auxilary Police of Meridian-1964,Meridian Times,1964-04-02,"Meridian Auxillary Police, from left to right: Kenneth Smith, Roy Wood, Jonas Lee, Bill Luke, Lowell Gass, Neil Hudson, Ted Dennis",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_18,col008_meridianpolice_018.jpg,"Police Chief Hiner, Officer Stuart, and Evidence ",Horton Studio,1964-04-30,"Police Chief Gene Hiner and Officer Charles Stuart show stolen money (cash, coins and deposit sack) taken from the Palamino Cafe in Ontario. Suspect was Edward Killingsworth. Money apprehended totaled $1,201.85. ",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_19,col008_meridianpolice_019.jpg,Meridian Police and Meridian Officials ,Horton Studio,1965,"Top left to right: Chief Gene Hiner, undocumented individual, Patrolman Charles Stuart; Bottom left to right: Herald Cox (city clerk), Don Storey (mayor), Wayne Skiver (city council); circa 1965",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_20,col008_meridianpolice_020.jpg,Police and City Officials Grow Beards for Dairy Days,unknown,1958,"Police and caity officials grow beards for Meridian Dairy Days; Back row left to right: Gene Hiner, Steve McGill, Herald Cox, Grant Ambrose, Roger Welker, Orville Vincent; Front row left to right: Terry McGoldrick, Dean Mayes, Don Storey, Bill Brown, Ray Pitman",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_21,col008_meridianpolice_021.jpg,Hunting Trip-1963 ,Gene Hiner Family,1963,"Mayor Don Storey, Gene Hiner, and others go on hunting trip; From left to right: undocumented individual, Storey, Hiner, Brooks, Deerer",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_22,col008_meridianpolice_022.jpg,Meridian Police-December 1964,Horton Studio,1964-12,"Meridian Auxillary Police were praised by the city for their outstanding service at community events and the Meridian Times used this photo shoot; Left to right: Gene Hiner (police chief), Kenneth Smith, Neal Hudson, Robert Metich, Don Sneddon, Lowell Gass, Wally Everist, Ted Dennis, Roy Wood, Wayne Skiver (city council member)",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_23,col008_meridianpolice_023.jpg,Officer Brumble with Sabrina,Meridian Police,1968,"Meridian officer Dick Brumble with Sabrina, the new police dog.",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_24,col008_meridianpolice_024.jpg,Meridian & Boise Police Promote Bike Safety,Horton Studio,1968-07,"July 1968-The Idaho State Police and local authorities promote luminous safety tape for bicycles; Rayme Wilmot of Meridian is the child in front, in back (from left to right) are Gene Hiner, Carl Burt (Driver Improvement Division), and Bob Moran (saftey official for Boise Police)",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_25,col008_meridianpolice_025.jpg,Police Promote Bike Saftey (Staged Photo),Horton Studio,1968,"As part of of Idaho State Police and local authorities push for bike safety, this staged photo was taken",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_26,col008_meridianpolice_026.jpg,Gene Hiner Catches Robbers and Evidence,Meridian Police,1966-05-06,"Gene Hiner caught the items several youth stole (copper tubing, a box of tools, a spare tire, a transitor radio, and a tape recorder).",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_27,col008_meridianpolice_027.jpg,Police Chief Gene Hiner,Meridian Times,1967-11-15,"Police Chief Hiner on the job, the photo appeared in the Meridian Times and the Idaho Free Press & News-Tribune",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_28,col008_meridianpolice_028.jpg,Meridian Police Dogs,Creason/Meridian Times,1968,"Picture of Meridian police dogs (a rottweiler and a German shepherd) with (from left to right): Richard Brumble, Police Chief Gene Hiner, and Alex Winn",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_29,col008_meridianpolice_029.jpg,Meridian Grade School Bike Safety Course,Meridian Times,1966-05,"Police Chief Gene Hiner leads bicycle training course at Meridian grade school. Upon completeing course, children issued bicycle safety certificates signed by Hiner and school principal Obed Dahl",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_30,col008_meridianpolice_030.jpg,Meridian Grade School Bike Safety Course,Meridian Times,1966-05,"Police Chief Gene Hiner leads bicycle training course at Meridian grade school. Upon completeing course, children issued bicycle safety certificates signed by Hiner and school principal Obed Dahl",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_31,col008_meridianpolice_031.jpg,Evidence in Drug Case,Meridian Police,1970,"Circa 1970, Gene Hiner examines evidence in a drug case (bag in right hand contains marijuana)",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_32,col008_meridianpolice_032.jpg,Evidence in Drug Case,Meridian Police,1970,"Circa 1970, Gene Hiner examines evidence in a drug case (bag in right hand contains marijuana)",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
col008_mp_33,col008_meridianpolice_033.jpg,Meridian Police,Meridian Police,1964,"Back left to right: Wally Everist, unknown, Roy Wood, Ted Dennis, Kenneth Smith; Front left to right: Bill Luke, unknown, unknown; circa 1964",Police forces; Police officers; Police service; Policemen; Subburban police,"Meridian, Idaho",43.6094542,-116.3931117,"Police Chief Gene Hiner Scrapbook, Meridian Police Department",,image,Image;StillImage,image/jpeg,eng,,
